ds,hol
2017-01-02,New Year's
2018-01-01,New Year's
2019-01-01,New Year's
2020-01-01,New Year's
2021-01-01,New Year's
2021-12-31,New Year's
2017-02-20,Presidents Day
2018-02-19,Presidents Day
2019-02-18,Presidents Day
2020-02-17,Presidents Day
2021-02-15,Presidents Day
2022-02-21,Presidents Day
2017-05-29,Memorial Day
2018-05-28,Memorial Day
2019-05-27,Memorial Day
2020-05-25,Memorial Day
2021-05-31,Memorial Day
2022-05-30,Memorial Day
2017-07-04,Independence Day
2018-07-04,Independence Day
2019-07-04,Independence Day
2020-07-03,Independence Day
2021-07-05,Independence Day
2022-07-04,Independence Day
2017-09-04,Labor Day
2018-09-03,Labor Day
2019-09-02,Labor Day
2020-09-07,Labor Day
2021-09-06,Labor Day
2022-09-05,Labor Day
2017-11-22,Thanksgiving - Day Before
2018-11-28,Thanksgiving - Day Before
2019-11-27,Thanksgiving - Day Before
2020-11-25,Thanksgiving - Day Before
2021-11-24,Thanksgiving - Day Before
2022-11-23,Thanksgiving - Day Before
2017-11-23,Thanksgiving
2018-11-22,Thanksgiving
2019-11-28,Thanksgiving
2020-11-26,Thanksgiving
2021-11-25,Thanksgiving
2022-11-24,Thanksgiving
2017-11-24,Thanksgiving - Day After
2018-11-23,Thanksgiving - Day After
2019-11-22,Thanksgiving - Day After
2020-11-27,Thanksgiving - Day After
2021-11-26,Thanksgiving - Day After
2022-11-25,Thanksgiving - Day After
2017-12-25,Christmas
2018-12-25,Christmas
2019-12-25,Christmas
2020-12-25,Christmas
2021-12-24,Christmas
2022-12-26,Christmas
